Date,Revenue,COGS
2023-01-01,3857254.88,3546014.51
2023-01-02,1770322.83,1655930.38
2023-01-03,1465110.63,1166502.52
2023-01-04,1225900.01,944901.83
2023-01-05,1520299.55,1244475.1
2023-01-06,1816078.39,1425036.84
2023-01-07,1907409.3,1521442.86
2023-01-08,2046078.17,1646092.74
2023-01-09,2329455.68,1878278.37
2023-01-10,2277799.4,1889202.81
2023-01-11,2197148.72,1746056.91
2023-01-12,2308277.54,1889108.18
2023-01-13,2378300.98,1945196.61
2023-01-14,2243628.15,1828248.47
2023-01-15,2081844.07,1727870.26
2023-01-16,2339450.43,1892366.9
2023-01-17,2278164.7,1824372.52
2023-01-18,1990488.16,1560595.0
2023-01-19,1949508.48,1599920.5
2023-01-20,2027836.21,1652669.3
2023-01-21,2169502.63,1787344.55
2023-01-22,2516704.01,2044390.49
2023-01-23,2897233.74,2260377.1
2023-01-24,2729891.05,2205808.88
2023-01-25,2494875.77,2013942.06
2023-01-26,2842005.04,2324921.4
2023-01-27,3280383.25,2593882.33
2023-01-28,4042693.87,3317153.77
2023-01-29,4517181.95,3699325.79
2023-01-30,4706014.11,3711024.28
2023-01-31,4516261.38,3824015.66
2023-02-01,3646122.6,3011864.22
2023-02-02,2319728.01,1870828.7
2023-02-03,2057825.55,1649459.8
2023-02-04,2284416.22,1873620.31
2023-02-05,2447966.46,2013743.42
2023-02-06,2490345.18,2052118.72
2023-02-07,2597687.29,2118063.89
2023-02-08,2310846.81,1852199.72
2023-02-09,2591009.98,2085101.59
2023-02-10,2578273.45,2109208.4
2023-02-11,2864305.66,2360966.69
2023-02-12,3316262.34,2674039.17
2023-02-13,3496095.11,2848900.38
2023-02-14,3440358.99,2895225.69
2023-02-15,2925303.22,2302334.16
2023-02-16,3341451.43,2611210.67
2023-02-17,3037941.11,2520197.97
2023-02-18,3250287.8,2704881.4
2023-02-19,3679496.6,3026932.15
2023-02-20,3917464.4,3226598.33
2023-02-21,4000623.49,3309564.16
2023-02-22,3750890.12,3117585.48
2023-02-23,4164206.38,3293331.91
2023-02-24,4167527.09,3475631.23
2023-02-25,5131586.77,4373353.7
2023-02-26,5985497.21,4966991.07
2023-02-27,6086274.8,4948769.87
2023-02-28,5501441.73,4389928.18
2023-03-01,3928327.01,3407863.69
2023-03-02,1541994.71,1464894.97
2023-03-03,1508160.32,1211840.96
2023-03-04,1518521.56,1204517.27
2023-03-05,2389012.66,1845498.45
2023-03-06,3242373.85,2506989.6
2023-03-07,3350673.35,2712780.06
2023-03-08,3868314.1,3131691.19
2023-03-09,4054760.64,3303925.73
2023-03-10,3719376.14,2957801.4
2023-03-11,3708287.76,3049715.04
2023-03-12,3848241.21,3252384.89
2023-03-13,4659626.67,3712575.57
2023-03-14,5179182.3,4224103.97
2023-03-15,5610123.66,4604419.11
2023-03-16,5422506.37,4535450.65
2023-03-17,4922202.41,3971676.68
2023-03-18,4687600.64,3956282.34
